FID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,POP_SOURCE,X,Y,pop_1,year,capital,rank,threshold,dist_km,type
"2029",Warsaw,POL-WRS,Warszawa,PL,Poland,National and provincial capital,"1766212","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"2339031.489","6844536.595","1,861,599","2023","1","7","5",433.60,inland
"2011",Gdansk,POL-GDN,Gdansk,PL,Poland,Provincial capital,"464834","4","250,000 to 499,999",UN_Data_2010_2020,"2073325.109","7239779.893","487,371","2023","0","2","30",16.01,coast
"2129",Chisinau,MDA,Moldova,MD,Moldova,National capital,"0","0",,,"3209340.617","5942073.758","532,513","2014","1","1","40",222.20,inland
"1628",Praia,CPV,Cape Verde,CV,Cape Verde,National capital,"0","0",,,"-2618345.249","1680327.654","137,868","2021","1","2","30",0.00,coast
"1658",Madrid,ESP-MDR,Madrid,SP,Spain,National and provincial capital,"3244730","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"-410877.09","4930414.133","3,340,176","2023","1","2","30",413.10,inland
"1632",Valencia,ESP-VLN,Valenciana,SP,Spain,Provincial capital,"792850","3","500,000 to 999,999",UN_Data_2010_2020,"-40854.42639","4789365.029","804,121","2023","0","1","40",17.17,coast
"297",Willemstad,ANT,Netherlands Antilles,NT,Netherlands Antilles,National and provincial capital,"0","0",,,"-7677767.021","1361507.23","2,280","2021","1","2","30",0.00,coast
"1506",Wellington,NZL-WLL,Wellington,NZ,New Zealand,National and provincial capital,"216300","5","100,000 to 249,999",UN_Data_2010_2020,"19459450.32","-5061856.656","212,000","2022","1","2","30",0.14,coast
"2532",Hamilton,NZL-WAK,Waikato,NZ,New Zealand,Provincial capital,"169300","5","100,000 to 249,999",UN_Data_2010_2020,"19511300.37","-4547829.847","179,900","2022","0","2","30",60.87,inland
"20",Alofi,NIU,Niue,NE,Niue,National and provincial capital,"639","7","Less than 50,000",UN_Data_2010_2020,"-18915037.13","-2156898.276","606","2022","1","7","5",0.00,coast
"407",Port-au-Prince,HTI-OUE,Ouest,HA,Haiti,National and provincial capital,"2874000","2","1,000,000 to 4,999,999",UN_Habitat_2020,"-8053197.793","2099281.241","875,978","2009","1","1","40",13.45,coast
"405",Hinche,HTI-CNT,Centre,HA,Haiti,Provincial capital,"0","0",,,"-8015448.136","2171779.106","30,595","2009","0","2","30",65.52,inland
"1458",Saipan,MNP,Northern Mariana Is.,CQ,Northern Mariana Is.,National and provincial capital,"3983","7","Less than 50,000",UN_Data_2010_2020,"16223146.25","1706492.84","43,385","2020","1","2","30",0.00,coast
"2503",Canberra,AUS-ACT,Australian Capital Territory,AS,Australia,National and provincial capital,"420960","4","250,000 to 499,999",UN_Data_2010_2020,"16591280.37","-4211547.338","490,181","2021","1","2","30",149.70,inland
"1509",Newcastle,AUS-NSW,New South Wales,AS,Australia,Other,"322278","4","250,000 to 499,999",UN_Data_2010_2020,"16896022.83","-3885745.501","348,539","2021","0","2","30",6.96,coast
"704",Sofia,BGR-GSO,Grad Sofiya,BU,Bulgaria,National capital and provincial capital enclave,"1241675","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"2597291.932","5267520.674","1,196,806","2023","1","7","5",301.40,inland
"712",Varna,BGR-VAR,Varna,BU,Bulgaria,Provincial capital,"336505","4","250,000 to 499,999",UN_Data_2010_2020,"3106593.298","5343380.361","314,607","2023","0","2","30",9.11,coast
"1551",Charlotte Amalie,VIR,Virgin Is.,VQ,Virgin Is.,National and provincial capital,"0","0",,,"-7228345.753","2078556.511","8,194","2020","1","1","40",0.00,coast
"484",Nassau,BHS,Bahamas,BF,The Bahamas,National capital,"266100","4","250,000 to 499,999",UN_Data_2010_2020,"-8609449.039","2883976.059","296,522","2022","1","2","30",0.00,coast
"538",Yaounde,CMR-CNT,Centre,CM,Cameroon,National and provincial capital,"3420000","2","1,000,000 to 4,999,999",UN_Habitat_2020,"1281732.324","430576.0691","1,817,524","2005","1","7","5",210.70,inland
"508",Buea,CMR-SOU,Sud-Ouest,CM,Cameroon,Provincial capital,"0","0",,,"1027590.591","462938.7603","90,090","2005","0","1","40",37.23,coast
"1258",Vientiane,LAO-VNG,Viangchan,LA,Laos,National and provincial capital,"1246000","2","1,000,000 to 4,999,999",UN_Habitat_2020,"11430311.52","2037751.858","620,157","2015","1","1","40",354.30,inland
"611",Skopje,MKD,Macedonia,MK,North Macedonia,National capital,"546824","3","500,000 to 999,999",UN_Data_2010_2020,"2385948.32","5158483.43","422,540","2021","1","2","30",214.30,inland
"594",Valletta,MLT,Malta,MT,Malta,National capital,"5827","7","Less than 50,000",UN_Data_2010_2020,"1614578.389","4288656.492","5,157","2021","1","2","30",0.00,coast
"1957",Brussels,BEL-BRS,Bruxelles-Brussel,BE,Belgium,National capital and provincial capital enclave,"1550299","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"486243.2507","6592512.099","196,828","2024","1","2","30",144.70,inland
"1952",Bruges,BEL-WVL,West-Vlaanderen,BE,Belgium,Provincial capital,"117260","5","100,000 to 249,999",UN_Data_2010_2020,"358449.0252","6658524.694","119,869","2024","0","2","30",18.63,coast
"2255",Doha,QAT-ADW,Ad Dawhah,QA,Qatar,National and provincial capital,"956457","3","500,000 to 999,999",UN_Data_2010_2020,"5736553.338","2910712.087","872,048","2020","1","1","40",8.05,coast
"832",Baghdad,IRQ-BGH,Baghdad,IZ,Iraq,National and provincial capital,"7816000","1","5,000,000 and greater",UN_Habitat_2020,"4942362.69","3939721.53","6,719,476","2018","1","1","40",592.80,inland
"2342",Brazzaville,COG-POO,Pool,CF,Congo,National capital,"2074000","2","1,000,000 to 4,999,999",UN_Habitat_2020,"1701534.16","-477470.2863","2,138,236","2023","1","2","30",381.70,inland
"85",Lima,PER-LIM,Lima,PE,Peru,National and provincial capital,"9562280","1","5,000,000 and greater",UN_Data_2010_2020,"-8576610.569","-1355041.496","11,166,200","2022","1","2","30",13.47,coast
"14",Arequipa,PER-ARQ,Arequipa,PE,Peru,Provincial capital,"1080635","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"-7961903.892","-1850859.74","1,125,400","2022","0","7","5",96.09,inland
"1040",Islamabad,PAK-PNJ,Punjab,PK,Pakistan,National capital,"1014825","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"8133062.369","3991020.02","1,108,872","2023","1","7","5",1297.00,inland
"2297",Karachi,PAK-SIN,Sind,PK,Pakistan,Provincial capital,"14910352","1","5,000,000 and greater",UN_Data_2010_2020,"7461523.311","2862607.917","18,868,021","2023","0","2","30",9.39,coast
"159",Jamestown,SHN,St. Helena,SH,St. Helena,National and provincial capital,"0","0",,,"-635077.769","-1795691.581","625","2021","1","7","5",0.00,coast
